,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(20),Exit_calculate…(20),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(4800),Exit_calculate…(4800)
46,2,19540,19603,67350.0,68475.6,,,1979.5488000000116,271.6512,0.01469598218262809,2024-03-25 04:00:00,2024-03-27 19:00:00,2 days 15:00:00,,66215.81573142776,69576.49390198584,66073.38737706689,67333.94849626742,608.346428571429,790.5528571428586,45298.47224553034,45930.854749606544
47,2,19843,19911,68307.28,69358.32,,,1826.7488000000162,275.3312,0.013371552783246591,2024-04-06 19:00:00,2024-04-09 15:00:00,2 days 20:00:00,,67952.2698573075,70577.81724393152,67886.27357815471,68784.90977686395,284.90500000000196,688.2499999999969,48078.80359169793,48698.608030746334
48,2,20215,20237,66300.01,66244.02,,,-377.0680599999814,265.08806000000004,-0.002843650098996782,2024-04-22 07:00:00,2024-04-23 05:00:00,0 days 22:00:00,,65298.48421530956,66358.75231830306,65214.27014746381,65372.4489563998,513.5985714285723,428.29714285714,50695.78974763847,50838.756679699254
49,2,20505,20523,63160.95,63141.7,,,-291.1053,252.6053,-0.002304472146159978,2024-05-04 09:00:00,2024-05-05 03:00:00,0 days 18:00:00,,62397.54504929785,63398.44723182301,62242.33164343759,62407.0180996315,488.6207142857139,443.5700000000002,52071.413395925556,52158.34383834653
50,2,20650,20655,63126.97,61063.87,,,-4374.5816799999975,248.38168000000002,-0.03464907059534142,2024-05-10 10:00:00,2024-05-10 15:00:00,0 days 05:00:00,,62714.99035159858,62483.03402896326,62666.339081194295,62652.74766279822,372.69285714285695,509.2142857142852,52717.68362063848,52737.54302494398
51,2,20728,20746,63002.0,61797.84,,,-2657.919680000007,249.59968,-0.021093930986317955,2024-05-13 16:00:00,2024-05-14 10:00:00,0 days 18:00:00,,62254.10214915951,62317.19761100898,62146.99173774123,62189.728438293074,524.804285714287,367.4200000000014,52993.196771854,53064.51284101705
52,2,20773,20876,63757.57,66034.01,,,4293.29683999999,259.58316,0.033668918373143605,2024-05-15 13:00:00,2024-05-19 20:00:00,4 days 07:00:00,,62410.00984407107,66785.07702601948,62160.78698643268,64307.501474593395,540.7235714285728,389.7007142857131,53164.36521631643,53719.89801519466
53,2,21207,21330,68252.51,69803.59,,,2826.0478000000035,276.11220000000003,0.020702885505602616,2024-06-02 15:00:00,2024-06-07 18:00:00,5 days 03:00:00,,67891.01703537145,70863.49274066817,67856.01370285855,69256.91126939049,275.914285714288,544.355714285714,55629.86352177716,56355.725417429676
54,2,21905,21923,63119.33,62715.98,,,-1058.3706199999972,251.67062,-0.00838388667940549,2024-07-01 17:00:00,2024-07-02 11:00:00,0 days 18:00:00,,62895.31174436353,62885.780108113744,62799.95841911117,62819.23246139725,319.2078571428579,238.8235714285724,58147.763151368694,58183.84591050048
55,2,22200,22430,59204.01,66092.0,,,13525.387979999996,250.59202,0.11422695844419993,2024-07-14 00:00:00,2024-07-23 14:00:00,9 days 14:00:00,,58710.94520558383,66976.76611784265,58581.95247183442,64219.63531663693,364.1907142857136,504.6585714285684,58150.40082185855,58777.002940920494
56,-1,22962,22982,59168.37,59451.33,,,-401.57969999999915,118.61970000000001,-0.006787067144151511,2024-08-14 18:00:00,2024-08-15 14:00:00,0 days 20:00:00,,60067.92195544367,58888.50397918914,60234.84098640542,60037.71607488126,609.0507142857152,502.6885714285719,59440.76389707796,59434.24683232712
57,-1,23063,23088,59350.0,59438.5,,,-207.2885,118.7885,-0.003492645324347155,2024-08-18 23:00:00,2024-08-20 00:00:00,1 days 01:00:00,,59521.471694580825,59045.91380939722,59650.44773021938,59511.22033623191,353.6471428571427,515.1414285714288,59420.80490657824,59413.631717637785
58,2,23093,23104,60865.61,58825.53,,,-4319.542280000003,239.38228,-0.03548426015939058,2024-08-20 05:00:00,2024-08-20 16:00:00,0 days 11:00:00,,59716.85127724674,59965.632398174144,59550.78920832843,59603.51412389293,468.83571428571514,447.30357142857036,59416.34230292587,59420.42709148488
59,-1,23113,23131,58989.0,60771.28,,,-1902.0402799999988,119.76028,-0.032243982437403666,2024-08-21 01:00:00,2024-08-21 19:00:00,0 days 18:00:00,,59519.9763277661,59870.26283349007,59581.34703028913,59597.77376761795,533.2028571428569,584.6571428571422,59419.68919345373,59421.88789267135
60,-1,23281,23299,59088.94,59487.0,,,-516.6359399999976,118.57594,-0.00874336110954102,2024-08-28 01:00:00,2024-08-28 19:00:00,0 days 18:00:00,,61247.062111301246,59606.70612798606,61596.914830515816,61341.79060466467,669.2042857142848,747.1299999999994,59617.83408601563,59615.78639648647
61,-1,23622,23640,56244.0,57338.0,,,-1207.5819999999999,113.582,-0.0214704146220041,2024-09-11 06:00:00,2024-09-12 00:00:00,0 days 18:00:00,,56937.14301261429,57142.03734134951,57045.40537242674,57039.47857715444,488.3528571428568,588.0128571428583,59306.18440026454,59288.801830199765
62,2,24241,24259,63677.98,62848.0,,,-1913.0119600000064,253.05196,-0.01502098496214864,2024-10-07 01:00:00,2024-10-07 19:00:00,0 days 18:00:00,,62655.81889474546,63305.63948794756,62523.85750304387,62627.24961274866,344.8292857142868,522.4407142857142,59943.64716069783,59969.762645121504
63,2,24362,24388,62733.67,62712.31,,,-293.61196000000115,250.89195999999998,-0.0023401465273752116,2024-10-12 02:00:00,2024-10-13 04:00:00,1 days 02:00:00,,62175.37561192008,62923.117666932725,62131.14215211023,62262.67187683763,431.3550000000001,236.85999999999953,60042.11873477449,60073.48759744823
64,2,24954,25404,69949.65,97280.04,,,54326.32062,334.45938,0.38832446352483546,2024-11-05 18:00:00,2024-11-24 12:00:00,18 days 18:00:00,,69125.17862752944,97924.71398462511,68932.27671705063,91873.16830475621,520.9007142857143,445.8285714285729,61786.13014928753,66246.5645710896
65,2,26343,26361,97256.48,96129.97,,,-2639.7928999999895,386.7729,-0.01357129571212112,2025-01-02 15:00:00,2025-01-03 09:00:00,0 days 18:00:00,,95890.282300419,96605.52574614814,95773.61634107897,95898.60642049879,603.6949999999987,390.2578571428582,76428.76778233817,76581.63490010418
66,2,26634,26760,96527.96,101331.57,,,9211.500940000002,395.71906,0.04771415940003286,2025-01-14 18:00:00,2025-01-20 00:00:00,5 days 06:00:00,,95620.84380128476,104013.23935819608,95438.41326762192,99283.91436969356,862.1271428571459,1402.3792857142846,78683.06707495282,79856.96998887345
67,2,26997,27029,104193.92,104007.59,,,-789.0630200000035,416.40301999999997,-0.0037865118233386323,2025-01-29 21:00:00,2025-01-31 05:00:00,1 days 08:00:00,,102663.46377176787,104726.47330925429,102435.92118184474,102915.406152889,852.9550000000017,593.0199999999978,82093.01823363871,82395.48858534876
68,2,27521,27546,97550.73,96971.91,,,-1546.685279999985,389.04528000000005,-0.007927594596165422,2025-02-20 17:00:00,2025-02-21 18:00:00,1 days 01:00:00,,97070.11021546234,98034.71422822226,96956.30211049471,97154.24983123223,433.28000000000196,723.1657142857127,85188.19338981129,85323.5543911869
69,2,27768,27786,94269.99,90300.01,,,-8309.10000000002,369.14,-0.044070758891562575,2025-03-03 00:00:00,2025-03-03 18:00:00,0 days 18:00:00,,90512.94056647673,90983.61115856095,90189.31764625701,90360.77851346624,1598.8300000000006,1542.2035714285707,85693.08033083947,85738.30102749342
70,2,27842,27860,91057.2,88526.23,,,-5421.106860000003,359.16686,-0.029767590371766302,2025-03-06 02:00:00,2025-03-06 20:00:00,0 days 18:00:00,,89644.50825249961,89845.76687504692,89359.14786662874,89481.4652040151,1189.0364285714272,1114.0921428571423,85765.65006184235,85800.87345965227
71,2,28174,28192,85636.0,84691.27,,,-2230.114539999992,340.65454,-0.01302089389976173,2025-03-19 22:00:00,2025-03-20 16:00:00,0 days 18:00:00,,84423.35983959428,85269.23387563715,84140.40928415737,84311.93041760822,751.5378571428561,684.2721428571416,85531.29004532409,85532.33829749876
72,-1,28214,28232,83935.71,84274.71,,,-507.21042,168.21042000000003,-0.006042844219701093,2025-03-21 14:00:00,2025-03-22 08:00:00,0 days 18:00:00,,84278.30128118471,84224.92485471722,84301.46950401527,84285.94297594756,513.7735714285726,258.0785714285698,85520.54274013771,85510.37826952232
73,-1,28384,28473,84051.15,84121.94,,,-238.96309000000815,168.17309,-0.0028430674654660393,2025-03-28 16:00:00,2025-04-01 09:00:00,3 days 17:00:00,,85456.26501396918,83116.03457290729,85712.99649585095,84450.52705065155,575.2607142857149,414.5657142857152,85564.70133001906,85468.91865803763
74,-1,28516,28544,83483.97,83992.85,,,-676.3568200000046,167.47682,-0.008101636996898998,2025-04-03 04:00:00,2025-04-04 08:00:00,1 days 04:00:00,,84423.92875019893,83115.87929393868,84528.7724710908,84238.63569885385,1119.7007142857162,540.432857142859,85456.48209616686,85425.88337624483
75,1,30095,30119,105820.52,105770.55,,,-261.56107000000117,211.59107,-0.0024717424371000934,2025-06-07 23:00:00,2025-06-08 23:00:00,1 days 00:00:00,,105334.5740132259,105836.32547587178,105273.77772604342,105343.28723998171,313.0285714285731,350.0457142857153,91532.44300228875,91673.74515607924
76,1,30300,30312,106884.0,106794.53,,,-303.1485300000012,213.67853,-0.0028362386325361836,2025-06-16 12:00:00,2025-06-17 00:00:00,0 days 12:00:00,,106262.40380375301,107327.78777968754,106173.29164585455,106298.27121098021,430.240714285716,704.8442857142852,92780.0063798179,92854.9093993049
77,1,30491,30620,105281.98,107406.8,,,1912.131220000007,212.68878,0.01816199904295119,2025-06-24 11:00:00,2025-06-29 20:00:00,5 days 09:00:00,,104422.84485285726,107615.86352277428,104347.24892569524,105998.93632166012,666.6035714285701,323.6935714285698,93641.21580010833,94347.21097656403
78,1,30680,30736,107080.0,107573.29,,,278.6367099999936,214.65329,0.0026021358797160615,2025-07-02 08:00:00,2025-07-04 16:00:00,2 days 08:00:00,,106466.14408649244,108648.8706789718,106311.39469059496,107151.49630660981,429.52642857142826,383.14071428571435,94660.11829249503,94990.93812619339
79,1,31259,31281,117971.94,117950.47,,,-257.3924100000012,235.92241,-0.0021818104372955498,2025-07-26 11:00:00,2025-07-27 09:00:00,0 days 22:00:00,,117301.05842313438,118006.14051872834,117231.46809375245,117348.12219493426,288.9707142857109,212.57785714285586,99064.09015742873,99237.65861786995
80,1,31553,31576,116259.24,116207.7,,,-284.00694000000817,232.46694000000002,-0.0024428762823498124,2025-08-07 17:00:00,2025-08-08 16:00:00,0 days 23:00:00,,115692.94806152345,116557.82191721597,115579.70790624115,115754.12408457021,525.9392857142853,408.9278571428596,101019.49763850875,101170.17142420619
81,1,32241,32259,112618.51,111216.14,,,-1626.2046499999954,223.83465,-0.014439941089613028,2025-09-05 09:00:00,2025-09-06 03:00:00,0 days 18:00:00,,111400.07528210952,111181.41387665905,111257.88717342647,111265.03905425238,572.8685714285717,655.4292857142874,104273.99714964007,104326.76717711761
82,1,32314,32332,112094.99,111708.01,,,-610.7830000000105,223.803,-0.005448798380730535,2025-09-08 10:00:00,2025-09-09 04:00:00,0 days 18:00:00,,111293.79644999024,111840.7723957659,111156.54149322702,111258.14601790279,408.25214285714173,413.9671428571445,104475.28890593932,104531.97509882213
83,1,32825,32843,113626.15,112923.5,,,-929.1996499999941,226.54964999999999,-0.008177691930950741,2025-09-29 17:00:00,2025-09-30 11:00:00,0 days 18:00:00,,112409.60988949129,113491.64062726153,112240.82876830491,112431.05394295725,491.54357142857145,376.7742857142834,106238.64172028514,106296.1580044847
84,-1,34321,34348,87000.0,86977.0,,,-150.977,173.977,-0.0017353678160919486,2025-12-01 01:00:00,2025-12-02 04:00:00,1 days 03:00:00,,90441.97329382005,86493.14071179272,90783.17417595578,90008.91934823606,700.1392857142865,884.4935714285696,105131.26868312483,104918.15599187395
85,-1,34437,34455,89301.75,90004.76,,,-882.3165099999948,179.30651,-0.009880170433390062,2025-12-05 21:00:00,2025-12-06 15:00:00,0 days 18:00:00,,90509.50139923966,89765.36504317335,90758.81305845661,90622.97510132777,868.4949999999984,310.10928571428565,104434.75478786902,104323.56149336527
86,-1,34518,34529,89899.35,94187.81,,,-4472.547159999992,184.08716,-0.04975060620571764,2025-12-09 06:00:00,2025-12-09 17:00:00,0 days 11:00:00,,90445.52447743954,91255.97539734963,90518.09287234372,90573.11547529862,620.6685714285715,769.0535714285714,103959.36477514495,103901.35431584388
87,-1,34573,34582,90032.31,92858.4,,,-3008.9807099999966,182.89071,-0.0334211208176264,2025-12-11 13:00:00,2025-12-11 22:00:00,0 days 09:00:00,,90767.31362695784,90986.22195139783,90872.55454104226,90872.59790024441,492.51785714285717,831.8135714285714,103682.04521191827,103634.03688910336
88,-1,34609,34633,90323.01,90340.0,,,-197.65301000000522,180.66300999999999,-0.0021882907799464775,2025-12-13 01:00:00,2025-12-14 01:00:00,1 days 00:00:00,,90851.78095128642,90282.74911746902,90965.76344763559,90861.05286308398,597.5900000000028,241.7585714285711,103498.07599931252,103366.35928579833
89,-1,34854,34895,87765.01,88009.82,,,-420.58483000001223,175.77483,-0.004792169795229505,2025-12-23 06:00:00,2025-12-24 23:00:00,1 days 17:00:00,,88489.80580818898,87449.66744727784,88665.30446356902,88364.95665270872,546.9700000000012,418.07000000000073,102006.55192321287,101759.39061718242
90,-1,34936,34954,87137.81,87618.9,,,-655.8467099999965,174.75671,-0.007526545709606471,2025-12-26 16:00:00,2025-12-27 10:00:00,0 days 18:00:00,,88118.20842586592,87604.7366243242,88286.82058940714,88195.67177315676,549.1228571428572,165.73785714285623,101526.70649997493,101421.74408187954
91,-1,35010,35028,87850.0,87903.89,,,-229.64388999999943,175.75389,-0.0026140454183267918,2025-12-29 18:00:00,2025-12-30 12:00:00,0 days 18:00:00,,88056.22999952437,87694.02337028664,88133.41432597423,88061.46482387529,608.270714285717,315.60928571428354,101111.50467056491,101009.71990280478
92,-1,35063,35081,87728.3,87988.77,,,-436.1870700000012,175.71707,-0.004972022369064453,2025-12-31 23:00:00,2026-01-01 17:00:00,0 days 18:00:00,,88042.4480385326,87956.96462832268,88112.26315737408,88086.33361529585,390.817857142859,183.7135714285718,100826.00696625252,100729.27188391348
93,-1,35511,35709,92812.43,89396.03,,,3234.1915399999943,182.20846,0.034846534456645484,2026-01-19 15:00:00,2026-01-27 21:00:00,8 days 06:00:00,,93369.24159851385,88327.61753364005,93432.72758091216,90157.24306749948,312.35071428571456,611.7857142857164,99404.33298760194,98604.29350438189
